ingredient_id,nom_ingredient
34,"""1 gousse d ail finement hachées"""
172,"""5 cl d eau"""
220,0.5 avocat
297,1 branche de laurier
403,1 cuillère à soupe de moutarde
491,1 mangue
527,1 petit piment oiseau
535,1 petite boîte de tomates pelées
660,10 tortillas
678,100 g de gruyère
691,12 cl de bouillon de volaille
750,2 boules de mozzarella
771,2 clous de girofle
772,2 clous de girofle écrasés
857,2 morceaux de sucre
874,2 oignons émincés
988,250 g de boeuf frais (tête)
1157,4 cuillères à soupe de chapelure
1162,4 cuillères à soupe de lait
1258,45 g de beurre
1269,5 cuillères à soupe de crème
1384,600 g de cigale de mer ou de langoustines
1398,65 g de concentré de tomates
1400,7 pommes de terre
1472,anchois
1476,artichaut
1477,asperge
1579,gésiers confits
1605,"le doigt doit senfoncer un peu)"""
1660,poivre
27,"""1 côte de boeuf 6 cm dépaisseur"""
36,"""1 gousse d ail pilée"""
62,"""1.5 kg d épaule dagneau désossée"""
65,"""1.5 l d eau"""
99,"""2 gousses d ail selon le goût"""
246,1 ail (toutes les gousses non épluchées)
381,1 cuillère à soupe de ciboulette
413,1 cuillère à soupe de sel
472,1 kg de pomme de terre à chair ferme
514,1 oignon très finement émincé
649,10 cl de vinaigre blanc
756,2 branches de laurier
786,2 cuillères à café de crème fraîche
829,2 cuillères à soupe de vinaigre aromatisé au gingembre
922,20 cl de purée de tomate épaissse
954,200 g de haricot blancs à la tomates
975,25 cl de crème fraîche fluide
1041,3 cuillères à soupe de sauce nuoc mam
1083,30 cl de vin blanc sec
1154,4 cuillères de jus de citron
1160,4 cuillères à soupe de crème fraîche
1234,4 verres de riz
1276,5 kg bardé
1315,500 g de cantal jeune
1326,500 g de haricots verts
1423,8 cuisses de canard
1440,8 tranches de bacon
1531,crème liquide
1540,céréales au choix
1552,etc ...)
1558,filet de boeuf
16,"""1 cuillère à soupe d eau"""
136,"""3 filets d anchois pilés"""
139,"""3 gousses d ail pilé"""
161,"""4 gousses d ail (écrasées)"""
177,"""50 cl d eau chaude"""
192,"""6 gousses d ail"""
193,"""6 jaunes doeuf"""
198,"""75 cl de vin blanc sec dalsace (riesling ou sylvaner)"""
250,1 aubergine
269,1 bouquet de persil + coriandre
285,1 boîte de crabe ou 8 batonnets de surimi ou 150 g de saumon cru ou fumé
314,1 chou vert
350,1 cuillère à café de gingembre en poudre
353,1 cuillère à café de gingembre poudre ou frais râpé
373,1 cuillère à café de sucre
402,1 cuillère à soupe de miel
432,1 feuille de thym
552,1 pincée de poivre
593,1 sachet de levure à pain
641,10 cl de bouillon de boeuf
661,10 tranches de bacon
665,10 tranches de tomate
696,12 noix de saint-jacques
735,150 g de cheddar
780,2 cuillères de ketchup
830,2 cuillères à soupe de vinaigre balsamique
864,2 oignons (ou 3 moyens)
897,2 tomates
898,2 tomates fraîches ou pelées
937,20 tomates cerise
964,200 g de riz
1107,300 g de fromage râpé
1128,350 g de courgette
1142,4 aubergines
1212,4 saucisses de strasbourg
1284,5 tranches fines de jambon cru
1345,500 g de sauté de porc
1428,"8 kg"""
1443,8 tranches de lard
1510,chou blanchi
1557,feuille de nori
1574,gros sel
1669,poivre et noix de muscade
1670,poivre et sel
1699,sauce tomate maison ou toute prête
1706,sel et poivre
1723,tomate fraîche
213,0.25 concombre
288,1 boîte de lasagnes
303,1 carotte
308,1 chou
327,1 courgette
438,1 filet mignon de porc de 600 à 700 g environ
477,1 kg de saumon frais cru
586,1 rôti de porc de 1kg environ
597,1 saucisse de morteau
693,12 crevettes cuites
701,12.5 cl de vin blanc
795,2 cuillères à soupe de chapelure
816,2 cuillères à soupe de nuoc mam
842,2 feuilles de salade verte
924,20 cl de vin blanc
939,200 g de beurre
981,25 cl de riesling
1121,300 g de soja frais
1187,4 navets
1190,4 oeufs
1394,600 g de saint-pierre
1426,8 joue de porc
1455,800 g de pois chiches en boîte égouttés
1489,bouillon
1497,cannelle
1642,parmesan râpé
1651,persillade
1662,poivre au goût
1703,saumon fumé
1715,thon
39,"""1 gousse d ail émincée"""
97,"""2 gousses d ail coupées en longueur 4 ou 6 fois (enlever le germe)"""
144,"""3 steaks hachés ( mieux à loignon )"""
164,"""4 souris dagneau"""
180,"""50 g d huile dolive"""
311,1 chou moyen
344,1 cuillère à café de curcuma
346,1 cuillère à café de curcuma (safran)
370,1 cuillère à café de safran en filaments
411,1 cuillère à soupe de poivre
522,1 paquet de nouilles chinoises (au rayon produits exotiques en gms)
616,1 verre de farine
619,1 verre de vin blanc
658,10 pommes de terre moyennes
674,100 g de fromage
884,2 poignées de champignon des bois (girolles
890,2 pommes de terre
951,200 g de fromage râpé (mozzarella ou mélange mozza/cheddar/parmesan recommandés)
998,250 g de farine
1019,250 ml de crème
1049,3 doses de safran
1078,30 cl de crème
1139,37.5 ml de vin rouge
1166,4 cuillères à soupe de parmesan
1167,4 cuillères à soupe de persil haché grossièrement
1186,4 morceaux de comté
1220,4 tranches de blanc de poulet
1227,4 tranches de jambon cuit (tout frais de chez le charcutier)
1260,450 g de tomate en boîte en morceaux
1396,600 g de telline ou de coques ou de petites palourdes
1417,8 brins de thym
1464,90 g de parmesan
1495,béchamel pour 6 personnes
1502,champignon
1504,champignons de paris (une petite boîte)
1532,cuillère à soupe de homard concentrée (facultatif)
1568,galinette coupée en gros morceaux
1649,persil pour décorer
1652,pignons
1666,poivre en grains ou 5 baies
1720,thé chaud
28,"""1 demi d oignon"""
45,"""1 kg d épaule dagneau"""
78,"""12.5 cl d eau"""
98,"""2 gousses d ail finement hâchées"""
134,"""3 cuillères à soupe de miel mille fleurs ou autre"""
274,1 bouteille de purée de tomate (50 cl)
282,1 boîte de champignons de paris (de taille moyenne)
286,1 boîte de crozet
287,1 boîte de germes de soja
296,1 branche de fenouil
307,1 chorizo
328,1 courgette (ne pas la peler)
430,1 feuille de laurier
443,1 grosse cuillère à soupe de moutarde de dijon
456,1 kg de calamar
488,1 l de moules
515,1 oignon émincé
544,1 piment oiseau (ou à défaut du piment de cayenne en poudre)
547,1 pincée de gros sel
694,12 diots (fumés
728,15 grains de poivre noir
742,2 ail
788,2 cuillères à café de fond de veau
822,2 cuillères à soupe de pâte de curry ou bien le mélange suivant
837,2 escalopes de poulet
882,2 pincées de sel
901,2 tomates pelées et coupées en cubes (ou 20 cl de coulis de tomates)
923,20 cl de sauce tomate pour pâtes/pizza (épicée ou non selon votre goût)
973,25 cl de bouillon de volaille
1026,3 clous de girofle
1035,3 cuillères à soupe de céleri rave râpé
1155,4 cuillères à café de maïzena
1210,4 saucisses
1219,4 tranches de bacon
1250,400 g de crevettes (ou 12 gambas)
1262,5 brins de thym
1263,5 carottes
1308,50 g de parmesan reggiano
1381,600 g de boeuf haché
1413,75 g de crème
1429,8 merguez
1450,800 g de boeuf pour bourguignon
1458,800 g de sanglier
1479,avocat
1506,charcuteries
1515,citron jaune
1592,huile olive
1594,jambon
1602,lardons
1711,sinon des soissons (gros haricots blancs)
19,"""1 cuillère à soupe d huile dolive"""
52,"""1 pot de moutarde à lancienne maille"""
81,"""16 tranches de saucisson à lail"""
87,"""2 cuillères à café de marrons que lon trouve dans des épiceries exotique)"""
135,"""3 cuillères à soupe de sauce dhuître"""
178,"""50 cl d eau"""
209,"""huile dolive"""
301,1 brin de thym
331,1 cube de bouillon
360,1 cuillère à café de miel
442,1 grosse boîte de haricots rouges égouttés
537,1 petite cuillère de piment de cayenne
558,1 poignée de tomates cerise
567,1 porc
579,1 pâte feuilletée
581,1 queue de lotte de 1 kg préparée par votre poissonnier
615,1 verre de crème fraîche légère liquide
622,"1 verre de vin blanc sec pas trop ""minéral"""
625,1 yaourt
633,1.5 joue de boeuf
676,100 g de fromage râpé
683,100 g de lardons fumés
804,2 cuillères à soupe de farine
824,2 cuillères à soupe de sauce huître
868,2 oignons frais
902,2 tours de moulin de poivre
980,25 cl de lait de coco (soit une petite brique)
1206,4 pommes de terre
1319,500 g de chou de bruxelles
1359,6 cuillères à soupe de sel
1589,huile de friture
1610,maïs
1657,piment séché
1702,saumon
1705,sel de guérande
1,"""0.5 cuillère à café d épices à couscous"""
18,"""1 cuillère à soupe d huile de tournesol"""
46,"""1 kg de viande à pot-au-feu (à los si possible)"""
51,"""1 pincée de piment despelette"""
73,"""100 g d eau"""
90,"""2 cuillères à soupe d huile dolive"""
227,0.5 cuillère à café de cannelle
243,0.6666667 l de vin rouge
309,1 chou blanc
333,1 cube de bouillon de légumes
352,1 cuillère à café de gingembre frais râpé
358,1 cuillère à café de massala
378,1 cuillère à soupe de bouquet garni
383,1 cuillère à soupe de concentré de tomates
441,1 grand verre de vin blanc
445,1 grosse poignée de pain
453,1 kg de boeuf maigre à braiser (paleron
487,1 l de lait
498,1 oeuf
550,1 pincée de muscade râpée
636,1.5 l de vin blanc (sec)
709,125 g de mozzarella
738,150 g de lardons fumés
827,2 cuillères à soupe de sucre
855,2 l de bouillon de boeuf (cubes)
917,20 cl de crème fraîche épaisse
931,20 g de beurre pour le plat
1118,300 g de riz rond japonnais (riz à sushi)
1153,4 crêpes
1172,4 côtes de porc
1178,4 filets de poulet
1197,4 paupiettes de veau
1204,4 poireaux
1348,500 g de steak de thon
1393,600 g de rascasse
1452,800 g de cheddar
1466,agneau)
1480,bacon
1496,bûche...selon les goûts)
1618,muscade (en poudre)
1673,poivre sel
109,"""20 cl d eau (soit un verre)"""
143,"""3 jaunes doeuf"""
146,"""300 g d olives noires dénoyautées"""
153,"""4 bols d eau"""
154,"""4 brins d aneth"""
263,1 bouillon de poule
266,1 bouquet de coriandre
457,1 kg de carotte
465,1 kg de lieu noir (ou morue dessalée)
485,1 l de bière brune (pelforth brune pour un goût délicat
606,1 tomate (si de saison)
722,15 cl de vin blanc sec de cuisine (quantité à augmenter proportionnellement avec la quantité de moules préparée)
894,2 safran
896,2 saucisses de morteau
989,250 g de boeuf haché
1122,300 g de thon
1202,4 pincées de basilic
1300,50 g de crevettes décortiquées
1334,500 g de palourde fraîches
1361,6 morceaux de viande selon le nombre de personnes (bœuf ou agneau)
1486,beurre
1597,ketchup
1609,matière grasse au choix
1686,raviole du royans (achetées dans le commerce) 3 à 4 plaques
55,"""1 poulet fermier denviron 1"
208,"""huile dolive ou huile pour wok chinoise"""
233,0.5 céleri vert
242,0.5 verre de vin blanc sec
257,1 bonne cuillère à soupe de moutarde
259,1 botte de céleri branche
267,1 bouquet de coriandre fraîche
434,1 filet de haddock
486,1 l de bouillon de volaille
601,1 tablette de bouillon de boeuf
726,15 g de farine
730,150 dés de jambon ou 4 tranches de jambon ou lardons
766,2 carottes moyennes
825,2 cuillères à soupe de sauce soja
1080,30 cl de ketchup bio
1144,4 bouchées feuilletées pour la sauce
1247,400 g de boeuf coupé en lanières
1252,400 g de gruyère râpé
1286,50 cl de bouillon
1491,bouquet garni ou un cube de bouquet garni
1499,cerfeuil
1517,clou de girofle
1685,queue
1693,roquette
1737,épices pour tajine
2,"""0.5 verre d eau"""
40,"""1 gousse d ail"""
48,"""1 lieu noir denviron 400 g"""
130,"""3 cuillères à soupe d huile dargan (ou à défaut d’huile d’olive)"""
234,0.5 feuille de laurier
390,1 cuillère à soupe de curry doux en poudre
393,1 cuillère à soupe de farine (complète ou bise
435,1 filet de jus de citron
450,1 jus de citron
497,1 noix de beurre salé
504,1 oignon (rose de roscoff bien sûr)
611,1 tête de veau roulée et précuite
655,10 grains de genièvre
662,10 tranches de bacon anglais fumé
752,2 boîtes de concentré de tomates
875,2 oignons émincés (revenus également à la poêle)
1070,3 saucisses de montbéliard
1136,350 g de riz rond
1221,4 tranches de bûche de chèvre
1239,40 cl de crème épaisse
1241,40 cl de lait entier ou demi-écrémé
1249,400 g de comté
1285,5 échalotes (ou à défaut
1316,500 g de chair à saucisse
1463,90 g de beurre
1539,céréales
1575,gros sel et poivre concassé
1603,lasagnes
1639,paprika
1647,persil haché
8,"""1 coq denviron 3 kg coupé en morceaux"""
35,"""1 gousse d ail hâché"""
88,"""2 cuillères à soupe d huile darachide"""
219,0.25 tasse de ciboulette
235,0.5 jus de citron
281,1 boîte de champignon
384,1 cuillère à soupe de coriandre moulue
400,1 cuillère à soupe de mayonnaise maison
444,1 grosse poignée de coriandre
476,1 kg de saumon frais (en 1 ou 2 pavés)
812,2 cuillères à soupe de maïzena ou farine
836,2 dl de crème fraîche
859,2 oeufs
873,2 oignons verts tendres coupés très finement
920,20 cl de lait de coco (moins selon les goûts)
986,25 g de beurre
1028,3 cuillères de sauce soja
1094,300 g de beaufort (voire plus pour ceux qui aiment)
1182,4 knackis
1193,4 oignons de taille moyenne
1280,5 pommes de terre
1356,6 cuillères à café de fond de veau
1386,600 g de grondin rouge
1503,champignon noir (environ 50 g)
1638,paleron)
1681,pulpe de tomate
1707,sel fin
83,"""2 brins d aneth"""
191,"""6 cuillères à soupe d huile dolive"""
221,0.5 bol de vinaigre
508,1 oignon jaune
551,1 pincée de piment de cayenne
574,1 poulet coupé en 6 morceaux
583,1 rognons de boeuf de 600 g environ
666,100 g de beurre
706,125 g de crème fraîche ou fromage blanc
718,15 cl de lait
760,2 branches de thym ou romarin
887,2 poivrons (coupés en lamelles et revenus à la poêle
1053,3 gouttes de tabasco
1068,3 pommes de terre
1143,4 blancs de poulet
1158,4 cuillères à soupe de concentré de tomates
1266,5 cl de crème fraîche
1303,50 g de foie gras mi-cuit
1312,500 g de blanc de poulet sans peau taillés en cube
1325,500 g de gîte de boeuf
1336,500 g de pois chiches trempés la veille (à ne pas oublier !)
1349,500 g de tagliatelles fraîches (de préférence)
1373,6 saucisses fumées (genre diots de savoie) ou 4 grosses saucisses fumées type montbéliard
1403,700 g de boeuf préparé
1411,75 cl de vin rouge
1469,ail au poudre
1576,gruyère
1616,mozzarella
1622,noix
1710,si possible)
1730,wasabi
1739,épinards
77,"""12 cl d eau"""
151,"""350 g d oignon"""
171,"""420 g d épinards hachés frais ou surgelés selon la saison"""
179,"""50 g d aneth"""
206,"""huile dolive (je la prends au basilic)"""
310,1 chou frisé
369,1 cuillère à café de piment de cayenne
376,1 cuillère à soupe de basilic
425,1 dinde
429,1 escalope de poulet cuite
431,1 feuille de nori
473,1 kg de pomme de terre à chair ferme de taille moyenne (type belle de fontenay)
493,1 morceau de sucre (facultatif)
627,1 échine de porc fermier de 1
737,150 g de lardons
803,2 cuillères à soupe de câpres égouttés
806,2 cuillères à soupe de feuilles de coriandre hachées
963,200 g de pâte brisée
971,24 gambas
1005,250 g de lardons
1054,3 magrets de canard
1086,30 g de farine
1131,350 g de palette
1177,4 feuilles de laurier
1238,40 cl de crème fraîche
1283,5 tomates (+/- une demie brique de coulis de tomate)
1343,500 g de saucisse à cuire
1352,500 g de tomme fraîche du cantal
1401,70 g de concentré de tomates en boîte
1444,8 tranches de pain de mie
1447,80 cl de crème uht épaisse
1494,brocoli
1498,cannelle...)
1601,lard gras
1627,oignon surgelés
1656,piment de cayenne (en poudre)
1735,épices
118,"""25 cl d eau de cuisson des légumes"""
141,"""3 gousses d ail"""
160,"""4 gousses d ail (en fonction du goût de chacun...)"""
176,"""5 tranches de pain dépices (si possible maison)"""
298,1 branche de persil
321,1 cl de jus de citron
337,1 cuillère de coriandre frais haché
420,1 cuillère à soupe de vinaigre balsamique
494,1 moutarde de dijon
500,1 oeuf dur
525,1 paquet de vermicelles de soja
526,1 pastis
540,1 piment de cayenne
594,1 sachet de mloukhia
613,1 verre de bière ou vin blanc
621,1 verre de vin blanc sec
640,10 carottes
729,15 tranches de jambon
739,150 g de thon naturel en conserve
759,2 branches de thym
809,2 cuillères à soupe de herbes hachées
850,2 kg de carotte (surgelées ou non)
872,2 oignons rouges
889,2 poivrons verts
947,200 g de coulis de tomate
992,250 g de champignons de paris
1010,250 g de pleurote
1027,3 cornichons
1039,3 cuillères à soupe de moutarde
1173,4 endives fraîches
1200,4 petites cuillères à soupe de miel liquide
1293,50 cl de lait
1353,6 branches de thym
1405,700 g de poivron (verts et rouges)
1490,bouquet garni
1577,gruyère râpé
1612,merguez
1617,muscade
1624,oignon
1683,quartier de citron vert
26,"""1 cuisse de dinde denviron 700g"""
31,"""1 filet mignon ou de léchine de porc pour 4 personnes (800 g)"""
44,"""1 kg d échine de porc"""
56,"""1 poulet à rôtir denviron 1"
270,1 bouquet de persil non frisé
343,1 cuillère à café de cumin en poudre
348,1 cuillère à café de curry en poudre
366,1 cuillère à café de patrelle
414,1 cuillère à soupe de sucre en poudre
439,1 filet mignon de porc de 600g
451,1 kg de blanc de poulet
467,1 kg de palette salée
568,1 porc (facultatif)
570,1 pot de crème fraîche épaisse
572,1 poule
592,1 sachet de levure chimique
656,10 navets
668,100 g de champignons de paris
717,15 cl de crème fraîche épaisse
732,150 g de chair à saucisse
778,2 cuillères de coulis de tomate
826,2 cuillères à soupe de sauce teriyaki
838,2 escalopes de veau
843,2 filets de truite
885,2 poireaux
970,230 g de champignons de paris (entiers)
994,250 g de champignons de paris en boîte
1013,250 g de pâte brisée (ou une pâte toute prête)
1033,3 cuillères à soupe de crème fraîche
1119,300 g de rumsteak de veau
1120,300 g de saumon fumé
1195,4 pains ronds
1251,400 g de farine
1290,50 cl de crème fraîche liquide liquide
1328,500 g de julienne de légumes
1341,500 g de ramen (ou nouilles de blé chinoises)
1427,8 kg
1543,des baux
1719,thym et laurier
49,"""1 mont dor"""
115,"""200 g d oignon émincés"""
184,"""50 g de beurre ou 3 cuillères à soupe dhuile"""
185,"""500 g d aiguillette de poulet"""
188,"""500 g d épaule de mouton désossée"""
226,0.5 cuillère à café de bicarbonate
278,1 bouteille de vin rouge corsé
292,1 boîte de tomates pelées (on garde le jus aussi)
299,1 branche de persil finement haché
302,1 briquette de crème liquide
374,1 cuillère à café de thym (ou une branche)
399,1 cuillère à soupe de ketchup
446,1 grosse poignée de raisins secs
538,1 petite poignée de sel gros
543,1 piment oiseau (facultatif)
573,1 poulet
591,1 sachet de levure boulangère
605,1 tomate
748,2 bols de sucre
797,2 cuillères à soupe de crème
